#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
7cd37e871b012452f0581b3f550b4a1f	Limosilactobacillus portuensis	 Limosilactobacillus portuensis	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
9fa333f17111f63219aed73fb439fada	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
30f2e0998935d538f7d5f07545421da8	Prevotella amnii	 Prevotella amnii	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
f00aaa17a4a6f003589c3f656bf03132	Dialister_37762 micraerophilus	 Dialister_37762 micraerophilus	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
6f091491378eaebdb9a575d030882774	Gemella asaccharolytica	 Gemella asaccharolytica	 Gemella	 Gemellaceae	 Staphylococcales	 Bacilli_A	 Bacillota_I	Bacteria
bc3c61edbe41decaa757706755ad2abc	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
8d08ad54432a28fe2afca4fa60c82341	Prevotella amnii	 Prevotella amnii	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
5831c5146f39d25cc828ca1806877486	Klebsiella_724518 variicola	 Klebsiella_724518 variicola	 Klebsiella_724518	 Enterobacteriaceae_A_725029	 Enterobacterales_737866	 Gammaproteobacteria	 Pseudomonadota	Bacteria
49e78edd9ea7fe2761154bc74b9e3d11	Aerococcus christensenii	 Aerococcus christensenii	 Aerococcus	 Aerococcaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
cbd7b2bbbcde0f93c83d24e760b34080	Lactobacillus (genus)	 Unclassified	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
f71531eaca68f59bd34d8edf11897fe8	Limosilactobacillus fermentum	 Limosilactobacillus fermentum	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
